provnum,overall_rating,survey_rating,staffing_rating,RN_staffing_rating,quality_rating,ssf,restot,ownership
335678,5,5,3,3,5,N,148,"For profit - Partnership"
335679,5,4,4,3,5,N,146,"For profit - Corporation"
335680,5,3,4,4,5,N,77,"For profit - Corporation"
335681,2,1,1,2,5,N,294,"For profit - Corporation"
335682,2,1,1,1,5,N,149,"Non profit - Church related"
335683,3,2,4,3,3,N,91,"For profit - Individual"
335684,4,3,4,4,3,N,114,"Non profit - Corporation"
335685,4,4,2,2,2,N,66,"For profit - Corporation"
335687,5,4,2,4,5,N,118,"For profit - Partnership"
15050,2,1,3,3,5,N,69,"For profit - Corporation"
335688,5,4,4,4,5,N,56,"Non profit - Corporation"
335690,2,2,1,1,5,N,186,"For profit - Partnership"
335691,3,2,2,4,5,N,110,"Non profit - Church related"
335692,5,4,3,4,5,N,39,"Non profit - Church related"
335693,2,1,4,4,4,N,77,"For profit - Corporation"
335694,5,5,4,5,5,N,152,"For profit - Corporation"
335695,5,5,2,3,5,N,195,"For profit - Corporation"
335696,2,2,3,3,4,N,435,"For profit - Corporation"
335697,5,4,4,3,5,N,190,"Non profit - Corporation"
335700,5,4,4,5,5,N,119,"Non profit - Corporation"
15053,2,1,4,4,4,N,79,"Government - City/county"
335701,5,5,4,5,4,N,107,"For profit - Partnership"
335702,5,5,5,5,5,N,227,"Non profit - Corporation"
335703,5,3,4,4,5,N,218,"For profit - Corporation"
335704,1,2,1,1,4,N,115,"For profit - Corporation"
335705,2,1,5,5,5,N,80,"Non profit - Corporation"
335706,4,3,4,3,4,N,113,"Non profit - Corporation"
335710,4,4,4,3,3,N,144,"For profit - Corporation"
335711,1,1,3,3,3,N,86,"For profit - Corporation"
335713,3,2,3,2,5,N,118,"Non profit - Corporation"
335714,5,5,4,5,5,N,45,"Non profit - Corporation"
15060,4,3,3,3,5,N,58,"For profit - Corporation"
335716,5,5,4,4,4,N,132,"For profit - Corporation"
335718,2,1,3,4,5,N,311,"For profit - Corporation"
335719,4,3,3,4,5,N,103,"For profit - Corporation"
335720,3,3,1,1,5,N,352,"For profit - Corporation"
335721,3,3,2,3,4,N,131,"Non profit - Church related"
335723,3,3,1,1,5,N,179,"For profit - Corporation"
335724,5,4,3,4,5,N,305,"Non profit - Corporation"
335725,5,4,3,5,5,N,56,"Non profit - Corporation"
335726,2,3,1,1,4,N,114,"For profit - Corporation"
335727,2,2,2,2,4,N,112,"For profit - Corporation"
15063,5,3,4,5,5,N,90,"For profit - Corporation"
335730,4,4,4,4,4,N,70,"Non profit - Corporation"
335732,2,1,4,4,3,N,91,"For profit - Corporation"
335734,4,4,3,3,2,N,166,"For profit - Individual"
335735,2,1,4,3,0,N,113,"Non profit - Corporation"
335737,4,4,1,1,5,N,202,"For profit - Partnership"
335738,4,4,1,1,5,N,266,"For profit - Corporation"
335739,4,4,1,2,5,N,252,"For profit - Corporation"
335742,1,1,1,2,3,N,146,"For profit - Corporation"
335744,4,4,1,1,5,N,217,"For profit - Corporation"
335745,2,2,0,0,4,N,7,"Non profit - Corporation"
15065,2,1,4,2,5,N,153,"For profit - Corporation"
335746,2,2,3,2,4,N,180,"Non profit - Corporation"
335747,5,3,4,4,5,N,60,"For profit - Corporation"
335748,3,2,3,3,5,N,187,"Non profit - Church related"
335750,3,2,4,3,3,N,154,"Non profit - Corporation"
335751,5,4,3,2,5,N,85,"Non profit - Corporation"
335752,3,3,3,3,3,N,159,"For profit - Corporation"
335753,4,4,4,3,4,N,233,"For profit - Individual"
335755,4,4,1,1,5,N,222,"For profit - Partnership"
335756,4,3,2,3,5,N,149,"For profit - Corporation"
335757,5,5,4,3,5,N,188,"For profit - Corporation"
15066,3,2,5,5,4,N,57,"For profit - Corporation"
335758,4,3,4,5,4,N,341,"Government - State"
335759,2,2,1,2,5,N,78,"For profit - Corporation"
335760,4,4,4,4,4,N,111,"Non profit - Corporation"
335761,3,3,1,1,5,N,135,"For profit - Corporation"
335762,5,3,4,5,5,N,37,"Non profit - Corporation"
335763,4,3,2,3,5,N,119,"Non profit - Church related"
335764,5,4,3,2,5,N,157,"Non profit - Corporation"
335765,4,4,2,2,3,N,254,"For profit - Corporation"
335766,2,1,4,3,5,N,101,"Non profit - Corporation"
335767,4,2,5,5,5,N,152,"Non profit - Corporation"
15067,5,5,4,5,5,N,93,"For profit - Corporation"
335768,3,2,4,4,4,N,78,"Non profit - Corporation"
335769,2,1,4,4,4,N,114,"Non profit - Corporation"
335770,3,2,4,4,4,N,219,"Government - State"
335771,5,5,1,1,5,N,201,"For profit - Corporation"
335772,2,1,4,4,4,N,279,"For profit - Corporation"
335774,5,4,3,4,5,N,118,"Non profit - Church related"
335775,3,2,4,4,4,N,186,"Non profit - Corporation"
335776,5,4,5,5,4,N,27,"Non profit - Corporation"
335777,5,3,4,5,5,N,152,"Non profit - Church related"
335778,3,2,4,3,3,N,138,"Non profit - Corporation"
15071,5,5,4,3,4,N,49,"For profit - Corporation"
335780,5,5,4,3,5,N,101,"Non profit - Corporation"
335781,5,4,4,4,5,N,163,"Non profit - Corporation"
335782,5,4,2,2,5,N,166,"For profit - Corporation"
335784,5,4,2,2,5,N,114,"Non profit - Corporation"
335785,5,3,4,4,5,N,78,"Non profit - Corporation"
335786,4,4,4,4,4,N,118,"Non profit - Corporation"
335787,3,3,1,1,5,N,269,"For profit - Corporation"
335788,5,4,5,5,5,N,116,"Government - State"
335789,4,4,4,4,2,N,150,"For profit - Corporation"
335790,5,5,3,4,5,N,116,"For profit - Corporation"
15073,5,4,4,4,5,N,199,"For profit - Corporation"
335791,5,5,4,4,5,N,277,"For profit - Partnership"
335792,4,4,1,2,5,N,306,"For profit - Corporation"
335793,5,5,5,5,4,N,29,"Non profit - Corporation"
335794,1,1,3,2,4,N,117,"For profit - Corporation"
335795,3,3,1,2,5,N,190,"Non profit - Corporation"
335796,4,3,3,3,5,N,259,"For profit - Corporation"
335797,4,4,4,4,4,N,83,"Non profit - Corporation"
335798,4,4,2,2,4,N,268,"For profit - Corporation"
335799,4,4,1,2,5,N,261,"For profit - Partnership"
335800,3,2,4,5,3,N,39,"Non profit - Corporation"
15075,2,2,3,2,4,N,215,"For profit - Corporation"
335801,1,1,3,3,4,N,197,"Non profit - Corporation"
335802,4,4,4,5,4,N,35,"Non profit - Corporation"
335803,4,3,4,4,4,N,112,"For profit - Corporation"
335804,5,5,3,4,5,N,281,"For profit - Corporation"
335805,5,4,4,4,5,N,307,"Government - City/county"
335806,2,2,0,0,4,N,180,"Non profit - Corporation"
335808,4,2,4,3,5,N,232,"For profit - Individual"
