population_size,poverty_rate,mammogram_rate,uninsured_rate,prim_care_phys_rate,community_health_center_ind
141416,15.8,77.4,47.1,51.6,1
184727,8.3,86.2,67.3,70.9,1
315258,10.2,83.5,161.1,71.7,1
69092,18,-1111.1,22.5,47.8,1
33991,22.4,-1111.1,20.8,41.2,1
14957,22.8,-1111.1,4.2,13.4,1
850962,12.1,84.7,293.4,102.1,1
302939,16,76.4,98.6,85.2,1
91247,9.8,91,33.4,35.1,2
11202,23.1,-1111.1,4.3,53.6,1
47560,26.6,-1111.1,15,27.3,1
17191,16.8,-1111.1,6.8,11.6,1
11175,21.8,-1111.1,5.1,0,2
15667,21.2,90.3,4.1,70.2,1
14348,29.3,-1111.1,3.7,27.9,2
28888,23.1,-1111.1,14,27.7,1
39453,23.8,-1111.1,22.8,38,1
171689,12.4,81.8,52.6,58.8,1
100011,16.7,-1111.1,39.7,66,1
1180784,13.9,82.1,435.9,91.8,1
19328,21,90.2,5.5,36.2,2
132315,12.4,82.6,49.6,74.8,1
49656,19,-1111.1,13.6,48.3,2
14547,18.5,-1111.1,4.8,20.6,2
8013,25.6,-1111.1,3.9,12.5,1
307243,10.3,77.7,106.1,58.6,1
593136,10.6,81.9,277.2,57.5,1
264063,18.6,88.5,109.1,99.6,1
39460,17.8,-1111.1,17.2,27.9,1
7957,21.5,-1111.1,2.4,0,1
18895,23.6,-1111.1,5.8,21.2,1
315766,12.2,85.3,125.8,65.2,1
329628,16,80.5,132,53.4,1
138660,10.4,-1111.1,55.9,78.6,1
2398245,16.5,78,1,109.4,1
72243,10.4,-1111.1,37.7,72,1
69835,8.9,-1111.1,25.1,34.4,2
179693,8.7,85.8,74.5,97.9,1
40359,20.8,-1111.1,19.5,52,1
1072801,13.7,75.6,421,88.6,1
263676,11.9,80.6,114.1,48.2,1
1265293,11.7,87.8,531,84.4,1
471028,13.2,83.8,159.5,50.7,1
910260,10.9,82.9,281.8,92,1
580594,15.3,77.9,218.8,54.4,1
73459,23.1,88.1,28.3,39.5,1
181540,7.9,74.5,59.7,92.5,1
265108,12.9,77.1,105.8,37,1
150053,10.6,89.9,48,65.3,1
372057,9.9,86.9,142.5,87.4,1
410854,9.3,82.3,151,74.5,1
74721,13.2,-1111.1,23.4,28.1,1
39802,19.9,-1111.1,16.9,17.6,1
21546,22.9,90.6,5.5,41.8,1
15141,23.6,-1111.1,2.9,33,2
498036,12.9,87.9,171.1,70.9,1
31089,13,-1111.1,11,22.5,1
53837,14.9,-1111.1,23.9,40.9,2
23928,23.2,-1111.1,7.5,29.3,2
18038,20.3,-1111.1,6.7,61,2
8181,24.6,-1111.1,4.2,0,1
10442,19.3,-1111.1,3.6,114.9,2
3805,26,-1111.1,1.5,0,1
46716,23.5,85.9,10.4,92,2
16760,15.3,-1111.1,5.9,6,1
70073,11.3,81,22.8,28.5,1
94913,12.6,85.3,28.8,41.1,2
17635,23.2,-1111.1,5.3,39.7,2
17058,21.9,-1111.1,4.9,17.6,2
155216,22.1,85.9,38.1,183.6,1
12683,19.5,-1111.1,3.1,55.2,2
15511,17.6,-1111.1,5.9,6.4,1
16425,22,-1111.1,5.2,18.3,2
31173,10.2,-1111.1,9.3,77,2
67761,23.1,76.8,30.1,64.9,2
22732,28.1,-1111.1,6.6,52.8,2
24423,15.6,-1111.1,6.2,32.8,2
6271,33.4,-1111.1,1.4,31.9,1
47641,12.3,-1111.1,16.2,52.5,2
10580,23.7,-1111.1,4.3,28.4,1
113688,15.9,-1111.1,39.8,58.9,1
62825,11.4,-1111.1,17.1,50.9,2
10848,21.5,-1111.1,2.4,36.9,1
251120,17,82.2,80,128.6,1
13754,19.7,-1111.1,3.3,80,1
26801,17.9,-1111.1,7.2,26.1,2
210529,6.7,84,71.2,37.5,1
114737,30.8,83.6,65.1,87.2,2
3231,31.1,-1111.1,1,31,2
273718,14.7,79.1,88.4,30.7,1
7060,24.8,-1111.1,1.7,42.5,2
698158,9.1,84.4,254.4,72.5,1
40527,21.4,-1111.1,13.6,61.7,1
45279,22.6,83.8,18.9,46.4,1
110627,6.6,83.1,33.4,158.2,2
16608,20.8,-1111.1,5.3,72.3,2
122924,9.6,-1111.1,37.9,43.1,2
12510,17.8,-1111.1,4.6,24,2
22162,27.7,-1111.1,6.2,81.2,1
16142,14.5,-1111.1,4.5,37.2,1
22006,10.7,-1111.1,9.5,59.1,2
28823,25.1,-1111.1,8.7,59,1
739956,15.6,85.9,253,127.4,1
20116,22.6,75.8,5.4,59.7,1
11548,27.2,-1111.1,3.1,26,1
95754,25.3,88.5,25.4,120.1,1
127932,9.9,-1111.1,44.9,45.3,2
11713,25.9,-1111.1,3.2,25.6,1
4063,26.7,-1111.1,2.9,0,1
52060,10.1,81.3,16.9,25,2
20494,18.6,-1111.1,7,34.2,1
22825,26.2,-1111.1,8.5,30.7,1
11646,24.8,-1111.1,4.7,51.5,2
22618,15.2,-1111.1,9.2,70.7,1
106465,4.7,86.7,30.2,124.9,2
95980,18.4,78.6,30.4,147.9,2
168060,5,86.1,58.6,29.2,1
21824,18.8,-1111.1,6.9,55,1
1014932,14.9,85.5,334.2,131.2,1
28537,17.1,-1111.1,13.1,59.6,1
2796,16.8,-1111.1,0.9,35.8,1
75884,17,81.2,25.7,79.1,2
52800,13,-1111.1,20.5,53,2
25115,22.4,-1111.1,11.7,35.8,2
15635,19,-1111.1,6.2,70.4,1
789499,9.6,83.5,354.6,59.4,1
43056,13.5,-1111.1,18.4,51.1,2
184814,14.2,80,88.5,63.8,1
9440,31.4,-1111.1,2.4,21.2,1
28979,19.2,-1111.1,8.2,51.8,2
29447,8.7,-1111.1,10.4,47.5,1
24278,16.6,-1111.1,7.5,49.4,1
11476,16.7,-1111.1,3.7,8.7,2
191502,8.1,81.9,52.3,56.4,2
133161,11.4,84.6,44.3,56.3,2
10231,22.3,-1111.1,3.2,29.3,1
61620,12.1,-1111.1,21.6,48.7,2
13842,15.4,-1111.1,4.8,43.3,2
13486,19.1,-1111.1,5,59.3,2
16443,22.9,-1111.1,4.4,60.8,2
8547,26.8,-1111.1,2.2,35.1,2
9550,28.2,-1111.1,2.5,20.9,1
27542,12.1,-1111.1,8.3,25.4,2
17000,15.5,-1111.1,4.6,41.2,1
8277,21.4,-1111.1,2.4,60.4,2
47848,21,73,12.7,119.1,1
33761,10.1,-1111.1,8.7,17.8,1
58491,15.4,86.9,25.4,30.8,2
8074,18.4,-1111.1,3.5,24.8,2
11452,23.2,-1111.1,5.3,0,1
104583,19.6,82.3,34.7,69.8,2
27056,15.1,-1111.1,10.6,44.4,2
21756,17.8,-1111.1,5.4,55.2,2
11455,18.8,-1111.1,4.1,8.7,2
13520,26.5,-1111.1,3.7,14.8,2
28200,16.3,-1111.1,13.5,21.3,1
6964,24.1,-1111.1,3.5,14.4,2
22840,18.7,-1111.1,6.4,39.4,1
6185,25.7,-1111.1,2.3,129.3,2
24073,27.3,-1111.1,6.4,49.8,2
25252,13.7,-1111.1,7.3,39.6,2
8930,23,-1111.1,3.6,0,1
18491,13.5,-1111.1,6.6,27,2
40304,13.7,-1111.1,13.3,12.4,1
186984,18.3,79.8,46.9,110.2,1
98542,11.7,-1111.1,31,34.5,2
32221,6.9,-1111.1,10.6,93.1,2
14106,14.2,-1111.1,6,21.3,1
133135,7.7,-1111.1,41,12,2
26736,20.6,-1111.1,9.1,33.7,2
31176,12.1,-1111.1,9.7,51.3,2
18127,17.6,-1111.1,6.3,38.6,1
17569,10.6,-1111.1,6.8,11.4,1
42018,16.4,-1111.1,15.2,23.8,2
9787,20.2,-1111.1,3.2,112.4,2
20385,15.8,-1111.1,7.8,24.5,2
2703,23.1,-1111.1,0.8,0,1
