provider_id,measure_id,score,unweighed_patient_experience_of_care_domain_score
120019,MSPB_1,0.85,11
120022,MSPB_1,0.89,69
120026,MSPB_1,0.93,60
120028,MSPB_1,0.72,49
130002,MSPB_1,0.98,49
130003,MSPB_1,0.99,39
130006,MSPB_1,0.96,57
130007,MSPB_1,0.93,28
130013,MSPB_1,0.94,37
130014,MSPB_1,0.91,38
130018,MSPB_1,0.97,19
130025,MSPB_1,0.92,24
130028,MSPB_1,0.94,32
130049,MSPB_1,1.01,32
140001,MSPB_1,0.97,43
140002,MSPB_1,0.9,76
140007,MSPB_1,1.06,25
140008,MSPB_1,1.02,21
140010,MSPB_1,1.03,40
140011,MSPB_1,1.01,33
140012,MSPB_1,0.91,72
140013,MSPB_1,0.96,40
140015,MSPB_1,0.99,55
140018,MSPB_1,1.01,25
140026,MSPB_1,0.96,66
140029,MSPB_1,1.05,22
140030,MSPB_1,1.07,45
140032,MSPB_1,0.9,32
140034,MSPB_1,0.93,94
140040,MSPB_1,1.02,24
140043,MSPB_1,0.92,61
140046,MSPB_1,0.97,56
140048,MSPB_1,1.03,29
140049,MSPB_1,1,31
140052,MSPB_1,0.94,37
140053,MSPB_1,0.96,27
140054,MSPB_1,1.03,33
140058,MSPB_1,0.93,47
140059,MSPB_1,1.03,40
140062,MSPB_1,1.03,20
140063,MSPB_1,1.01,48
140064,MSPB_1,0.99,79
140065,MSPB_1,1.06,56
140067,MSPB_1,0.97,39
140068,MSPB_1,1.03,4
140077,MSPB_1,0.91,65
140080,MSPB_1,1.07,33
140082,MSPB_1,1.12,21
140083,MSPB_1,1.07,13
140084,MSPB_1,1.03,28
140088,MSPB_1,1.01,16
140089,MSPB_1,0.97,69
140091,MSPB_1,0.99,19
140093,MSPB_1,0.97,51
140095,MSPB_1,1.03,29
140101,MSPB_1,0.99,54
140103,MSPB_1,1.08,14
140110,MSPB_1,0.98,69
140113,MSPB_1,0.99,24
140114,MSPB_1,1.03,35
140115,MSPB_1,1.04,27
140116,MSPB_1,1.03,42
140117,MSPB_1,1.15,52
140118,MSPB_1,1.03,58
140119,MSPB_1,0.97,58
140120,MSPB_1,0.99,16
140122,MSPB_1,1.04,49
